Time,DeviceAddress,GatewayNode,FrequencyHz,SF,BW,RSSI,SNR,Distance
76.6015,6c000755,200,868300000,11,125000,-133.47,-16.4395,5215.52
84.3913,6c0007a0,201,868100000,7,125000,-117.821,-0.789923,2000.26
91.3228,6c000777,202,868500000,12,125000,-136.903,-19.872,6435.57
106.905,6c00076c,203,868500000,7,125000,-120.581,-3.55055,2368.68
119.482,6c0007db,203,868300000,7,125000,-122.549,-5.51834,2672.03
145.862,6c00078d,203,868100000,11,125000,-133.362,-16.3309,5180.94
145.862,6c00078d,200,868100000,11,125000,-133.551,-16.5199,5241.25
152.625,6c00075d,201,868300000,9,125000,-127.949,-10.9183,3719.26
158.925,6c000764,201,868100000,9,125000,-127.099,-10.0682,3530.6
187.632,6c0007c6,202,868100000,12,125000,-135.568,-18.5368,5930.3
207.323,6c00075f,201,868100000,7,125000,-101.43,15.6012,733.081
216.124,6c000770,201,868300000,8,125000,-124.44,-7.40915,3000.05
217.817,6c000756,200,868300000,11,125000,-134.301,-17.2698,5487.57
252.14,6c0007cc,201,868100000,7,125000,-117.05,-0.018933,1908.01
261.554,6c000750,203,868100000,9,125000,-127.096,-10.0651,3529.93
293.024,6c00074a,201,868100000,8,125000,-126.04,-9.00956,3308.97
302.95,6c000748,203,868500000,7,125000,-121.324,-4.29337,2478.92
312.006,6c000758,200,868100000,7,125000,-83.7435,33.2874,248.184
319.21,6c000802,201,868100000,7,125000,-122.369,-5.33776,2642.64
320.888,6c00079a,203,868300000,12,125000,-135.014,28.0294,5732.62
320.888,6c00079a,201,868300000,12,125000,-139.108,20.2769,7366
320.888,6c00079a,200,868300000,12,125000,-141.324,23.2456,8436.7
322.624,6c0007a8,202,868300000,12,125000,-138.112,26.9439,6930.3
328.206,6c000800,203,868500000,7,125000,-117.713,-0.68224,1987.11
336.031,6c000788,202,868100000,10,125000,-131.495,-14.464,4621.25
344.233,6c000757,203,868500000,10,125000,-131.91,-14.8788,4740.12
349.934,6c0007d9,202,868100000,10,125000,-130.294,-13.2636,4293.7
361.91,6c0007bc,203,868100000,7,125000,-114.688,2.34295,1651.07
370.146,6c0007b6,203,868100000,7,125000,-123.634,-6.60336,2855.61
387.114,6c00076a,202,868500000,8,125000,-124.917,-7.88565,3088.89
408.062,6c0007d0,200,868100000,9,125000,-128.772,-11.7416,3911.59
435.299,6c0007c8,202,868100000,7,125000,-100.328,16.7027,685.263
447.333,6c0007bb,201,868500000,10,125000,-130.479,-13.4476,4342.37
456.049,6c0007f1,203,868300000,9,125000,-128.572,-11.5415,3863.95
474.107,6c000792,203,868100000,10,125000,-131.818,-14.7871,4713.57
477.012,6c000804,202,868300000,7,125000,-120.066,-3.03503,2295.07
485.015,6c000798,200,868100000,7,125000,-122.674,-5.6426,2692.44
508.761,6c00074e,200,868100000,12,125000,-135.509,-18.4776,5908.86
508.761,6c00074e,203,868100000,12,125000,-136.792,-19.7616,6392.2
533.993,6c0007df,200,868100000,10,125000,-130.684,-13.6531,4397.36
539.852,6c0007bd,202,868500000,9,125000,-128.504,-11.4727,3847.72
548.316,6c00077e,203,868500000,7,125000,-123.145,-6.11422,2771.34
594.895,6c0007ff,201,868300000,12,125000,-136.228,-19.1974,6175.13
612.735,6c00076f,201,868500000,9,125000,-127.244,-10.2134,3562.14
613.95,6c0007c1,200,868500000,7,125000,-112.561,4.46942,1449.47
613.95,6c0007c1,203,868500000,7,125000,-119.904,-2.87357,2272.49
622.679,6c0007ac,202,868500000,7,125000,-116.417,0.61352,1835.52
644.099,6c0007a9,200,868300000,8,125000,-126.565,-9.53429,3417.03
669.028,6c0007ea,201,868500000,9,125000,-128.452,-11.4211,3835.57
728.697,6c000799,200,868100000,10,125000,-131.206,-14.1751,4540.2
732.954,6c0007f6,201,868100000,11,125000,-134.489,-17.4577,5551.08
758.912,6c0007c3,201,868300000,8,125000,-125.037,-8.00621,3111.78
771.881,6c00080b,200,868500000,9,125000,-127.231,-10.1999,3559.18
771.931,6c0007d8,201,868100000,7,125000,-123.967,-6.93593,2914.36
785.763,6c0007e7,203,868300000,7,125000,-117.044,-0.0134695,1907.37
785.763,6c0007e7,200,868300000,7,125000,-119.334,-2.30343,2194.51
799.86,6c0007fd,201,868500000,7,125000,-118.27,-1.23871,2055.99
808.489,6c000780,201,868100000,7,125000,-120.074,-3.04277,2296.16
818.764,6c000803,203,868500000,7,125000,-121.984,-4.95358,2581.2
825.574,6c0007c0,202,868100000,7,125000,-104.162,12.8687,866.61
825.686,6c000809,203,868100000,9,125000,-129.309,-12.278,4042.22
826.308,6c0007dc,200,868500000,8,125000,-126.157,-9.12615,3332.68
864.95,6c000796,200,868300000,10,125000,-131.359,-14.3277,4582.83
872.679,6c0007b7,201,868300000,8,125000,-125.683,-8.65203,3237.31
885.531,6c000790,202,868300000,7,125000,-118.753,-1.72222,2117.78
889.446,6c0007b3,201,868500000,9,125000,-127.655,-10.624,3652.84
906.367,6c00078b,203,868300000,11,125000,-133.119,-16.0883,5104.54
924.916,6c00079e,202,868300000,10,125000,-131.168,-14.137,4529.62
927.44,6c0007aa,200,868300000,9,125000,-127.708,-10.6773,3664.78
939.329,6c0007f8,201,868300000,7,125000,-118.815,-1.78434,2125.85
947.389,6c000805,201,868300000,10,125000,-131.479,-14.4479,4616.67
956.8,6c000779,200,868100000,7,125000,-119.602,-2.57154,2230.84
997.603,6c0007d6,200,868500000,8,125000,-125.684,-8.65331,3237.56
