Time,DeviceAddress,GatewayNode,FrequencyHz,SF,BW,RSSI,SNR,Distance,Jammer
1.22171,6c00079d,202,868.3,9,125000,-128.173,-11.1419,3770.55,0
76.067,6c000755,200,868.3,10,125000,-131.75,-14.719,4693.96,0
84.3913,6c0007a0,201,868.1,7,125000,-116.1,0.930559,1800.23,0
91.3228,6c000777,202,868.5,12,125000,-135.182,-18.1515,5792.01,0
91.3228,6c000777,201,868.5,12,125000,-136.111,-19.0805,6131.08,0
106.905,6c00076c,203,868.5,7,125000,-118.861,-1.83007,2131.81,0
119.482,6c0007db,203,868.3,7,125000,-120.829,-3.79785,2404.83,0
145.327,6c00078d,203,868.1,10,125000,-131.641,-14.6104,4662.85,0
145.327,6c00078d,200,868.1,10,125000,-131.83,-14.7994,4717.13,0
152.511,6c00075d,201,868.3,8,125000,-126.229,-9.19779,3347.33,0
158.812,6c000764,201,868.1,8,125000,-125.379,-8.34774,3177.54,0
186.809,6c0007c6,202,868.1,11,125000,-133.847,-16.8163,5337.27,0
207.323,6c00075f,201,868.1,7,125000,-99.7092,17.3217,659.773,0
216.062,6c000770,201,868.3,7,125000,-122.72,-5.68866,2700.05,0
252.14,6c0007cc,201,868.1,7,125000,-115.329,1.70155,1717.21,0
261.441,6c000750,203,868.1,8,125000,-125.376,-8.34462,3176.94,0
293.024,6c00074a,201,868.1,8,125000,-124.32,-7.28908,2978.07,0
302.95,6c000748,203,868.5,7,125000,-119.604,-2.57289,2231.03,0
312.006,6c000758,200,868.1,7,125000,-82.023,35.0079,223.366,0
319.21,6c000802,201,868.1,7,125000,-120.648,-3.61727,2378.38,0
320.065,6c00079a,203,868.3,11,125000,-133.294,-16.2627,5159.36,0
322.624,6c0007a8,202,868.3,12,125000,-136.392,-19.3609,6237.27,0
328.206,6c000800,203,868.5,7,125000,-115.993,1.03824,1788.4,0
344.233,6c000757,203,868.5,10,125000,-130.189,-13.1583,4266.1,0
344.233,6c000757,201,868.5,10,125000,-130.878,-13.8471,4449.91,0
349.729,6c0007d9,202,868.1,9,125000,-128.574,-11.5431,3864.33,0
361.91,6c0007bc,203,868.1,7,125000,-112.967,4.06343,1485.96,0
367.087,6c0007e8,200,868.1,12,125000,-136.583,-19.5523,6310.8,0
370.146,6c0007b6,203,868.1,7,125000,-121.914,-4.88288,2570.05,0
387.053,6c00076a,202,868.5,7,125000,-123.196,-6.16517,2780,0
408.062,6c0007d0,200,868.1,9,125000,-127.052,-10.0211,3520.43,0
435.299,6c0007c8,202,868.1,7,125000,-98.6078,18.4231,616.737,0
447.127,6c0007bb,201,868.5,9,125000,-128.758,-11.7272,3908.13,0
455.936,6c0007f1,203,868.3,8,125000,-126.852,-9.821,3477.55,0
474.107,6c000792,203,868.1,10,125000,-130.097,-13.0666,4242.21,0
477.012,6c000804,202,868.3,7,125000,-118.345,-1.31454,2065.56,0
485.015,6c000798,200,868.1,7,125000,-120.953,-3.92212,2423.2,0
507.938,6c00074e,200,868.1,11,125000,-133.788,-16.7571,5317.97,0
533.787,6c0007df,200,868.1,9,125000,-128.964,-11.9327,3957.63,0
539.739,6c0007bd,202,868.5,8,125000,-126.783,-9.75225,3462.94,0
